+------------+--------+--------+----------+----------+----------+-----------+-----------+---------------------------------+
| identifier | e_rmse | f_rmse | f_rmse_H | f_rmse_C | f_rmse_N | f_rmse_Br | f_rmse_Pb |                          stdout |
|        404 |   0.65 |  36.12 |    27.16 |    46.54 |    40.11 |     35.39 |     52.14 | task_14647_cp2k_singlepoint_pre |
|        405 |   1.51 |  38.42 |    26.29 |    53.43 |    41.60 |     37.17 |     59.98 | task_14651_cp2k_singlepoint_pre |
|        406 |   1.91 |  38.27 |    24.81 |    53.39 |    44.40 |     35.51 |     60.82 | task_14653_cp2k_singlepoint_pre |
|        407 |   1.55 |  41.12 |    30.25 |    65.73 |    41.40 |     39.11 |     56.66 | task_14655_cp2k_singlepoint_pre |
|        408 |   0.95 |  28.70 |    22.76 |    41.74 |    35.74 |     24.29 |     34.98 | task_14657_cp2k_singlepoint_pre |
|        409 |   0.11 |  31.67 |    22.76 |    45.83 |    35.12 |     30.56 |     45.55 | task_14659_cp2k_singlepoint_pre |
|        410 |   0.15 |  32.33 |    24.09 |    43.78 |    37.85 |     29.89 |     46.69 | task_14661_cp2k_singlepoint_pre |
|        411 |   0.71 |  42.95 |    29.53 |    54.15 |    47.87 |     43.04 |     68.55 | task_14663_cp2k_singlepoint_pre |
|        412 |   0.38 |  38.23 |    26.48 |    50.65 |    41.42 |     38.05 |     60.73 | task_14665_cp2k_singlepoint_pre |
|        413 |   1.65 |  49.39 |    30.28 |    68.18 |    51.63 |     52.50 |     80.27 | task_14667_cp2k_singlepoint_pre |
|        414 |   2.35 |  48.55 |    30.92 |    53.91 |    49.57 |     53.03 |     85.13 | task_14669_cp2k_singlepoint_pre |
|        415 |   0.77 |  35.81 |    26.99 |    46.47 |    39.66 |     34.25 |     54.06 | task_14671_cp2k_singlepoint_pre |
|        416 |   1.49 |  47.69 |    29.85 |    59.73 |    49.75 |     49.99 |     82.63 | task_14673_cp2k_singlepoint_pre |
|        417 |   0.16 |  31.78 |    23.13 |    50.47 |    37.94 |     27.96 |     40.91 | task_14675_cp2k_singlepoint_pre |
|        418 |   0.36 |  32.23 |    24.32 |    47.36 |    34.38 |     31.10 |     45.02 | task_14677_cp2k_singlepoint_pre |
|        419 |   0.15 |  33.90 |    23.76 |    46.67 |    39.12 |     32.02 |     52.14 | task_14679_cp2k_singlepoint_pre |
|        420 |   0.36 |  31.97 |    23.52 |    42.49 |    34.31 |     31.98 |     48.53 | task_14737_cp2k_singlepoint_pre |
|        421 |   0.40 |  34.93 |    25.51 |    49.17 |    43.07 |     32.46 |     46.34 | task_14681_cp2k_singlepoint_pre |
|        422 |   0.50 |  39.60 |    28.96 |    59.44 |    45.53 |     37.14 |     53.84 | task_14683_cp2k_singlepoint_pre |
|        423 |   0.18 |  36.41 |    27.06 |    51.83 |    42.22 |     34.13 |     51.03 | task_14685_cp2k_singlepoint_pre |
|        424 |   0.11 |  37.75 |    26.83 |    54.21 |    42.41 |     35.83 |     57.60 | task_14687_cp2k_singlepoint_pre |
|        425 |   0.20 |  31.47 |    23.15 |    45.45 |    37.35 |     28.61 |     43.39 | task_14689_cp2k_singlepoint_pre |
|        426 |   0.16 |  30.36 |    21.21 |    44.24 |    34.41 |     29.66 |     42.65 | task_14691_cp2k_singlepoint_pre |
|        427 |   0.47 |  31.10 |    23.17 |    44.33 |    37.74 |     28.02 |     41.62 | task_14693_cp2k_singlepoint_pre |
|        428 |   0.08 |  32.93 |    26.00 |    50.93 |    37.66 |     29.22 |     40.46 | task_14695_cp2k_singlepoint_pre |
|        429 |   0.47 |  29.61 |    20.31 |    40.06 |    34.53 |     28.72 |     43.73 | task_14697_cp2k_singlepoint_pre |
|        430 |   0.26 |  32.34 |    24.05 |    47.21 |    37.76 |     31.22 |     40.11 | task_14699_cp2k_singlepoint_pre |
|        431 |   1.41 |  38.81 |    26.88 |    47.93 |    43.61 |     39.64 |     58.27 | task_14701_cp2k_singlepoint_pre |
|        432 |   1.17 |  34.24 |    22.06 |    44.95 |    38.37 |     36.48 |     49.53 | task_14703_cp2k_singlepoint_pre |
|        433 |   0.16 |  29.56 |    24.64 |    40.23 |    34.93 |     26.95 |     34.78 | task_14705_cp2k_singlepoint_pre |
|        434 |   0.08 |  30.29 |    22.47 |    43.16 |    35.30 |     28.31 |     41.54 | task_14707_cp2k_singlepoint_pre |
|        435 |   0.06 |  32.70 |    23.85 |    46.31 |    38.70 |     29.98 |     46.42 | task_14709_cp2k_singlepoint_pre |
|        436 |   0.80 |  39.73 |    25.92 |    50.20 |    44.02 |     44.30 |     57.40 | task_14711_cp2k_singlepoint_pre |
|        437 |   1.08 |  42.73 |    28.57 |    59.16 |    45.45 |     42.66 |     68.87 | task_14713_cp2k_singlepoint_pre |
|        438 |   1.14 |  39.00 |    27.25 |    46.90 |    42.37 |     40.09 |     62.64 | task_14715_cp2k_singlepoint_pre |
|        439 |   1.36 |  39.09 |    27.17 |    50.64 |    38.26 |     40.14 |     65.74 | task_14717_cp2k_singlepoint_pre |
|        440 |   0.96 |  38.80 |    26.86 |    54.14 |    43.80 |     36.23 |     61.28 | task_14719_cp2k_singlepoint_pre |
|        441 |   1.58 |  44.95 |    29.63 |    62.19 |    52.89 |     43.64 |     68.39 | task_14721_cp2k_singlepoint_pre |
|        442 |   0.15 |  30.52 |    22.38 |    42.34 |    34.46 |     29.69 |     43.32 | task_14723_cp2k_singlepoint_pre |
|        443 |   0.43 |  30.39 |    22.85 |    40.73 |    35.13 |     28.82 |     43.28 | task_14725_cp2k_singlepoint_pre |
|        444 |   0.32 |  35.03 |    26.49 |    50.55 |    39.48 |     32.97 |     48.13 | task_14727_cp2k_singlepoint_pre |
|        445 |   0.50 |  32.52 |    24.22 |    45.95 |    38.15 |     31.22 |     42.99 | task_14729_cp2k_singlepoint_pre |
|        446 |   0.28 |  35.00 |    25.88 |    48.83 |    43.05 |     32.13 |     47.00 | task_14731_cp2k_singlepoint_pre |
|        447 |   0.26 |  35.96 |    24.40 |    49.12 |    36.63 |     37.31 |     59.08 | task_14733_cp2k_singlepoint_pre |
|        448 |   0.18 |  43.97 |    30.08 |    71.41 |    50.42 |     39.98 |     61.88 | task_14735_cp2k_singlepoint_pre |
|        449 |   0.34 |  42.01 |    27.85 |    67.07 |    58.19 |     35.95 |     45.47 | task_14739_cp2k_singlepoint_pre |
|        450 |   0.57 |  31.21 |    23.17 |    45.67 |    37.00 |     29.12 |     40.37 | task_16321_cp2k_singlepoint_pre |
|        451 |   0.25 |  30.31 |    22.83 |    41.67 |    37.73 |     26.95 |     40.56 | task_16319_cp2k_singlepoint_pre |
|        452 |   0.13 |  33.43 |    25.10 |    44.29 |    37.90 |     29.94 |     51.75 | task_16317_cp2k_singlepoint_pre |
|        453 |   0.01 |  30.69 |    22.61 |    40.55 |    35.48 |     29.52 |     43.74 | task_16315_cp2k_singlepoint_pre |
|        454 |   0.30 |  30.94 |    23.38 |    41.64 |    34.38 |     29.19 |     45.00 | task_16327_cp2k_singlepoint_pre |
|        455 |   0.23 |  31.91 |    23.83 |    39.87 |    38.57 |     29.84 |     45.40 | task_16325_cp2k_singlepoint_pre |
|        456 |   0.48 |  30.35 |    22.44 |    40.79 |    33.17 |     31.00 |     41.08 | task_16329_cp2k_singlepoint_pre |
|        457 |   0.86 |  35.65 |    25.39 |    46.24 |    38.04 |     35.84 |     53.91 | task_16323_cp2k_singlepoint_pre |
|        458 |   0.49 |  30.23 |    21.68 |    41.80 |    36.59 |     28.23 |     42.40 | task_16337_cp2k_singlepoint_pre |
|        459 |   0.11 |  29.94 |    22.38 |    41.07 |    34.30 |     28.84 |     41.41 | task_16335_cp2k_singlepoint_pre |
|        460 |   0.55 |  31.02 |    22.66 |    44.80 |    36.56 |     28.93 |     42.30 | task_16331_cp2k_singlepoint_pre |
|        461 |   0.95 |  40.52 |    27.96 |    57.50 |    43.83 |     41.13 |     59.71 | task_16333_cp2k_singlepoint_pre |
|        462 |   1.37 |  38.90 |    26.92 |    49.89 |    40.06 |     40.35 |     62.87 | task_16345_cp2k_singlepoint_pre |
|        463 |   1.95 |  46.79 |    31.46 |    61.88 |    53.95 |     47.91 |     69.19 | task_16343_cp2k_singlepoint_pre |
|        464 |   1.59 |  49.19 |    29.43 |    76.39 |    53.57 |     48.47 |     78.04 | task_16341_cp2k_singlepoint_pre |
|        465 |   1.18 |  40.10 |    29.01 |    51.14 |    40.50 |     41.36 |     63.71 | task_16339_cp2k_singlepoint_pre |
|        466 |   1.07 |  41.31 |    26.80 |    51.14 |    46.05 |     44.01 |     64.96 | task_16347_cp2k_singlepoint_pre |
|        467 |   0.56 |  27.68 |    21.56 |    37.77 |    32.20 |     26.30 |     36.03 | task_16349_cp2k_singlepoint_pre |
|        468 |   0.42 |  32.76 |    23.71 |    46.42 |    40.80 |     30.95 |     41.51 | task_16351_cp2k_singlepoint_pre |
|        469 |   0.23 |  32.84 |    23.08 |    43.29 |    40.32 |     32.40 |     45.21 | task_16353_cp2k_singlepoint_pre |
|        470 |   0.69 |  31.28 |    23.24 |    50.22 |    38.25 |     26.89 |     37.65 | task_16355_cp2k_singlepoint_pre |
|        471 |   0.10 |  36.36 |    24.30 |    64.33 |    43.15 |     31.43 |     45.78 | task_16361_cp2k_singlepoint_pre |
|        472 |   0.64 |  41.39 |    26.58 |    58.21 |    43.98 |     41.80 |     69.44 | task_16359_cp2k_singlepoint_pre |
|        473 |   0.27 |  45.55 |    29.92 |    58.98 |    48.86 |     47.92 |     75.70 | task_16357_cp2k_singlepoint_pre |
|        474 |   0.25 |  39.82 |    26.93 |    56.99 |    47.13 |     38.88 |     58.15 | task_16363_cp2k_singlepoint_pre |
|        475 |   0.30 |  29.39 |    21.29 |    41.54 |    35.29 |     28.77 |     37.32 | task_16369_cp2k_singlepoint_pre |
|        476 |   0.08 |  33.64 |    26.26 |    47.79 |    39.50 |     30.23 |     44.45 | task_16367_cp2k_singlepoint_pre |
|        477 |   0.11 |  30.24 |    22.20 |    41.80 |    35.39 |     26.99 |     45.13 | task_16365_cp2k_singlepoint_pre |
|        478 |   0.32 |  31.32 |    23.24 |    38.48 |    32.39 |     32.03 |     48.16 | task_16371_cp2k_singlepoint_pre |
|        479 |   0.56 |  31.21 |    21.86 |    42.87 |    34.93 |     30.63 |     46.04 | task_16377_cp2k_singlepoint_pre |
|        480 |   0.79 |  34.97 |    23.54 |    47.40 |    38.26 |     35.43 |     52.88 | task_16375_cp2k_singlepoint_pre |
|        481 |   1.25 |  37.49 |    26.01 |    45.14 |    40.04 |     38.13 |     59.97 | task_16373_cp2k_singlepoint_pre |
|        482 |   1.33 |  35.42 |    24.77 |    45.74 |    35.63 |     38.04 |     52.43 | task_16379_cp2k_singlepoint_pre |
|        483 |   0.50 |  29.70 |    20.95 |    46.27 |    33.18 |     28.78 |     39.53 | task_16385_cp2k_singlepoint_pre |
|        484 |   0.22 |  31.87 |    22.96 |    50.94 |    33.82 |     31.26 |     41.70 | task_16383_cp2k_singlepoint_pre |
|        485 |   0.46 |  32.62 |    22.60 |    44.70 |    37.19 |     31.87 |     49.08 | task_16381_cp2k_singlepoint_pre |
|        486 |   0.40 |  38.55 |    24.68 |    51.01 |    40.99 |     39.56 |     64.26 | task_16387_cp2k_singlepoint_pre |
|        487 |   0.82 |  41.22 |    28.74 |    56.84 |    44.89 |     41.15 |     62.55 | task_16389_cp2k_singlepoint_pre |
|        488 |   2.17 |  51.28 |    30.52 |    63.36 |    50.61 |     57.68 |     88.21 | task_16393_cp2k_singlepoint_pre |
|        489 |   1.41 |  41.28 |    29.41 |    57.21 |    44.36 |     40.10 |     64.00 | task_16391_cp2k_singlepoint_pre |
|        490 |   0.67 |  39.93 |    27.49 |    51.68 |    45.13 |     40.81 |     60.08 | task_16395_cp2k_singlepoint_pre |
|        491 |   1.62 |  48.60 |    31.08 |    72.57 |    48.08 |     50.99 |     76.34 | task_16397_cp2k_singlepoint_pre |
|        492 |   0.54 |  28.41 |    22.52 |    37.83 |    33.65 |     26.16 |     37.46 | task_16401_cp2k_singlepoint_pre |
|        493 |   0.21 |  36.41 |    24.03 |    51.29 |    38.35 |     37.02 |     58.34 | task_16399_cp2k_singlepoint_pre |
|        494 |   0.37 |  31.05 |    22.27 |    40.05 |    35.41 |     32.92 |     42.09 | task_16403_cp2k_singlepoint_pre |
|        495 |   0.11 |  33.32 |    25.34 |    49.88 |    39.24 |     29.29 |     44.69 | task_16405_cp2k_singlepoint_pre |
|        496 |   0.74 |  36.42 |    25.96 |    50.34 |    44.86 |     34.14 |     50.66 | task_16409_cp2k_singlepoint_pre |
|        497 |   0.09 |  36.87 |    25.42 |    51.63 |    42.33 |     36.72 |     54.17 | task_16407_cp2k_singlepoint_pre |
|        498 |   0.39 |  36.22 |    25.28 |    45.47 |    40.41 |     36.44 |     58.92 | task_16411_cp2k_singlepoint_pre |
|        499 |   0.01 |  42.43 |    29.79 |    56.04 |    47.96 |     41.32 |     68.03 | task_16413_cp2k_singlepoint_pre |
|        500 |   0.34 |  29.00 |    21.31 |    44.81 |    33.55 |     26.37 |     38.39 | task_17993_cp2k_singlepoint_pre |
|        501 |   0.20 |  29.96 |    21.81 |    41.45 |    35.49 |     29.37 |     39.29 | task_17991_cp2k_singlepoint_pre |
|        502 |   0.30 |  29.37 |    20.93 |    43.88 |    33.95 |     27.71 |     39.99 | task_17989_cp2k_singlepoint_pre |
|        503 |   0.13 |  30.07 |    22.09 |    40.28 |    34.63 |     28.63 |     43.36 | task_17995_cp2k_singlepoint_pre |
|        504 |   0.04 |  30.23 |    22.02 |    42.77 |    36.33 |     27.14 |     42.65 | task_18003_cp2k_singlepoint_pre |
|        505 |   1.16 |  36.75 |    28.83 |    52.18 |    43.94 |     31.64 |     49.22 | task_17999_cp2k_singlepoint_pre |
|        506 |   1.06 |  33.10 |    25.54 |    47.03 |    37.66 |     29.85 |     45.73 | task_18005_cp2k_singlepoint_pre |
|        507 |   0.96 |  33.45 |    23.80 |    43.55 |    37.43 |     31.75 |     51.79 | task_17997_cp2k_singlepoint_pre |
|        508 |   0.48 |  28.19 |    22.38 |    40.65 |    33.69 |     24.57 |     36.00 | task_18007_cp2k_singlepoint_pre |
|        509 |   0.34 |  34.09 |    25.22 |    50.28 |    41.48 |     30.41 |     44.98 | task_18001_cp2k_singlepoint_pre |
|        510 |   0.06 |  31.45 |    23.39 |    44.70 |    37.40 |     29.61 |     41.35 | task_18013_cp2k_singlepoint_pre |
|        511 |   0.42 |  37.19 |    27.03 |    53.23 |    45.64 |     35.59 |     46.33 | task_18011_cp2k_singlepoint_pre |
|        512 |   0.15 |  33.31 |    23.56 |    47.86 |    37.70 |     32.04 |     48.27 | task_18009_cp2k_singlepoint_pre |
|        513 |   1.43 |  47.89 |    33.54 |    62.81 |    52.94 |     45.52 |     78.29 | task_18015_cp2k_singlepoint_pre |
|        514 |   0.81 |  42.00 |    28.23 |    58.74 |    49.19 |     39.31 |     65.27 | task_18019_cp2k_singlepoint_pre |
|        515 |   0.68 |  41.30 |    27.10 |    58.87 |    44.55 |     41.83 |     64.15 | task_18021_cp2k_singlepoint_pre |
|        516 |   0.56 |  40.06 |    30.22 |    58.59 |    50.02 |     33.91 |     52.99 | task_18017_cp2k_singlepoint_pre |
|        517 |   0.50 |  27.04 |    20.74 |    40.05 |    31.62 |     24.43 |     35.08 | task_18023_cp2k_singlepoint_pre |
|        518 |   0.73 |  27.26 |    19.57 |    37.12 |    31.41 |     26.46 |     39.67 | task_18025_cp2k_singlepoint_pre |
|        519 |   0.35 |  29.24 |    22.61 |    41.39 |    35.77 |     26.04 |     37.56 | task_18027_cp2k_singlepoint_pre |
|        520 |   0.62 |  30.39 |    23.01 |    43.65 |    35.71 |     28.46 |     39.74 | task_18029_cp2k_singlepoint_pre |
|        521 |   0.23 |  35.31 |    27.79 |    49.79 |    39.16 |     31.62 |     51.21 | task_18033_cp2k_singlepoint_pre |
|        522 |   0.07 |  35.08 |    25.47 |    50.39 |    38.37 |     34.53 |     50.78 | task_18031_cp2k_singlepoint_pre |
|        523 |   0.59 |  35.41 |    27.53 |    53.46 |    40.41 |     31.68 |     46.50 | task_18035_cp2k_singlepoint_pre |
|        524 |   0.47 |  38.25 |    27.32 |    50.38 |    41.42 |     38.55 |     60.71 | task_18037_cp2k_singlepoint_pre |
|        525 |   0.28 |  30.42 |    24.14 |    48.14 |    34.75 |     26.58 |     36.61 | task_18039_cp2k_singlepoint_pre |
|        526 |   0.28 |  32.00 |    24.10 |    49.56 |    37.14 |     27.96 |     42.60 | task_18041_cp2k_singlepoint_pre |
|        527 |   0.24 |  29.39 |    22.35 |    42.30 |    35.01 |     27.37 |     36.93 | task_18043_cp2k_singlepoint_pre |
|        528 |   0.02 |  30.11 |    20.77 |    45.74 |    32.86 |     30.71 |     39.87 | task_18045_cp2k_singlepoint_pre |
|        529 |   0.51 |  32.03 |    21.90 |    44.38 |    36.02 |     29.34 |     51.52 | task_18047_cp2k_singlepoint_pre |
|        530 |   0.55 |  32.87 |    24.59 |    46.57 |    35.61 |     31.16 |     47.19 | task_18053_cp2k_singlepoint_pre |
|        531 |   1.00 |  35.14 |    24.32 |    48.64 |    37.93 |     33.78 |     54.78 | task_18051_cp2k_singlepoint_pre |
|        532 |   0.46 |  31.82 |    22.92 |    47.76 |    37.08 |     29.34 |     42.85 | task_18049_cp2k_singlepoint_pre |
|        533 |   0.59 |  26.67 |    20.87 |    38.23 |    33.04 |     22.99 |     33.59 | task_18055_cp2k_singlepoint_pre |
|        534 |   0.10 |  29.22 |    21.88 |    40.46 |    35.25 |     27.28 |     38.69 | task_18057_cp2k_singlepoint_pre |
|        535 |   0.47 |  30.82 |    21.89 |    42.35 |    35.14 |     29.78 |     45.61 | task_18059_cp2k_singlepoint_pre |
|        536 |   0.23 |  40.35 |    27.11 |    71.51 |    52.49 |     32.72 |     45.06 | task_18061_cp2k_singlepoint_pre |
|        537 |   0.90 |  41.15 |    29.37 |    54.93 |    46.87 |     38.48 |     64.45 | task_18063_cp2k_singlepoint_pre |
|        538 |   0.87 |  40.94 |    29.45 |    54.56 |    46.59 |     39.85 |     60.81 | task_18065_cp2k_singlepoint_pre |
|        539 |   1.11 |  36.96 |    25.80 |    51.59 |    39.69 |     35.77 |     58.41 | task_18067_cp2k_singlepoint_pre |
|        540 |   0.22 |  46.37 |    32.02 |    75.48 |    48.04 |     46.32 |     62.67 | task_18071_cp2k_singlepoint_pre |
|        541 |   0.53 |  40.38 |    28.71 |    60.53 |    48.46 |     36.60 |     55.34 | task_18069_cp2k_singlepoint_pre |
|        542 |   0.51 |  27.70 |    20.62 |    41.06 |    33.00 |     26.15 |     34.21 | task_18073_cp2k_singlepoint_pre |
|        543 |   0.41 |  31.03 |    25.42 |    43.10 |    37.77 |     25.35 |     41.08 | task_18075_cp2k_singlepoint_pre |
|        544 |   0.33 |  34.11 |    25.66 |    48.44 |    41.64 |     31.67 |     43.18 | task_18077_cp2k_singlepoint_pre |
|        545 |   0.51 |  32.15 |    24.28 |    47.21 |    37.98 |     29.15 |     42.70 | task_18079_cp2k_singlepoint_pre |
|        546 |   0.08 |  41.52 |    29.73 |    58.38 |    47.93 |     39.35 |     61.27 | task_18081_cp2k_singlepoint_pre |
|        547 |   0.78 |  33.33 |    23.65 |    51.79 |    37.70 |     30.82 |     47.32 | task_18083_cp2k_singlepoint_pre |
|        548 |   0.23 |  36.21 |    27.03 |    47.74 |    41.91 |     36.04 |     50.21 | task_18085_cp2k_singlepoint_pre |
|        549 |   0.15 |  38.18 |    26.45 |    57.28 |    40.81 |     38.71 |     55.71 | task_18087_cp2k_singlepoint_pre |
|        550 |   0.53 |  26.91 |    18.90 |    40.09 |    31.80 |     25.99 |     35.28 | task_19666_cp2k_singlepoint_pre |
|        551 |   0.21 |  30.13 |    22.25 |    46.58 |    37.06 |     26.14 |     38.10 | task_19668_cp2k_singlepoint_pre |
|        552 |   0.04 |  29.38 |    21.43 |    39.73 |    35.10 |     26.94 |     42.51 | task_19670_cp2k_singlepoint_pre |
|        553 |   0.33 |  30.80 |    23.01 |    41.18 |    36.01 |     27.82 |     45.55 | task_19672_cp2k_singlepoint_pre |
|        554 |   0.19 |  30.62 |    20.39 |    42.22 |    35.12 |     30.12 |     45.90 | task_19674_cp2k_singlepoint_pre |
|        555 |   0.42 |  28.88 |    21.50 |    40.54 |    35.09 |     27.73 |     35.37 | task_19676_cp2k_singlepoint_pre |
|        556 |   0.43 |  31.41 |    23.61 |    39.85 |    34.58 |     31.27 |     44.86 | task_19678_cp2k_singlepoint_pre |
|        557 |   1.58 |  53.52 |    34.99 |    77.10 |    57.78 |     54.13 |     79.51 | task_19680_cp2k_singlepoint_pre |
|        558 |   0.67 |  26.61 |    21.44 |    38.38 |    33.14 |     23.69 |     29.02 | task_19682_cp2k_singlepoint_pre |
|        559 |   0.10 |  29.54 |    22.90 |    41.60 |    33.51 |     27.02 |     41.02 | task_19684_cp2k_singlepoint_pre |
|        560 |   0.00 |  31.67 |    23.50 |    41.56 |    35.30 |     30.96 |     46.75 | task_19686_cp2k_singlepoint_pre |
|        561 |   0.40 |  35.72 |    23.13 |    52.68 |    38.78 |     35.03 |     56.31 | task_19688_cp2k_singlepoint_pre |
|        562 |   0.43 |  41.17 |    26.44 |    56.77 |    40.41 |     42.69 |     69.93 | task_19690_cp2k_singlepoint_pre |
|        563 |   1.15 |  45.13 |    29.30 |    56.62 |    49.84 |     46.34 |     74.42 | task_19692_cp2k_singlepoint_pre |
|        564 |   1.39 |  44.13 |    30.44 |    60.00 |    54.35 |     41.91 |     62.94 | task_19694_cp2k_singlepoint_pre |
|        565 |   1.11 |  41.49 |    29.92 |    55.51 |    47.81 |     39.51 |     62.00 | task_19696_cp2k_singlepoint_pre |
|        566 |   0.87 |  40.82 |    25.81 |    49.61 |    43.03 |     43.91 |     68.68 | task_19698_cp2k_singlepoint_pre |
|        567 |   0.45 |  33.27 |    26.97 |    50.00 |    36.15 |     31.09 |     40.50 | task_19700_cp2k_singlepoint_pre |
|        568 |   0.32 |  28.96 |    21.83 |    41.05 |    34.56 |     27.14 |     37.50 | task_19702_cp2k_singlepoint_pre |
|        569 |   0.46 |  31.94 |    23.93 |    44.99 |    38.38 |     29.61 |     42.48 | task_19704_cp2k_singlepoint_pre |
|        570 |   0.15 |  31.56 |    22.23 |    46.10 |    35.55 |     30.09 |     46.61 | task_19706_cp2k_singlepoint_pre |
|        571 |   0.25 |  32.53 |    24.17 |    50.68 |    37.03 |     29.57 |     43.37 | task_19708_cp2k_singlepoint_pre |
|        572 |   0.15 |  33.52 |    25.60 |    46.29 |    40.18 |     31.24 |     44.21 | task_19710_cp2k_singlepoint_pre |
|        573 |   0.14 |  40.55 |    29.53 |    54.42 |    47.65 |     38.47 |     60.11 | task_19712_cp2k_singlepoint_pre |
|        574 |   0.25 |  36.39 |    26.03 |    48.76 |    39.74 |     36.23 |     57.21 | task_19714_cp2k_singlepoint_pre |
|        575 |   0.37 |  29.20 |    22.63 |    45.58 |    37.74 |     24.50 |     30.86 | task_19716_cp2k_singlepoint_pre |
|        576 |   0.06 |  29.64 |    23.19 |    40.12 |    33.22 |     28.07 |     40.73 | task_19718_cp2k_singlepoint_pre |
|        577 |   0.20 |  28.60 |    21.65 |    39.88 |    32.19 |     27.83 |     38.19 | task_19720_cp2k_singlepoint_pre |
|        578 |   0.23 |  32.22 |    23.33 |    50.99 |    40.22 |     28.78 |     37.68 | task_19722_cp2k_singlepoint_pre |
|        579 |   0.20 |  32.12 |    23.37 |    42.58 |    36.73 |     31.41 |     45.78 | task_19724_cp2k_singlepoint_pre |
|        580 |   0.31 |  34.31 |    22.73 |    44.25 |    37.88 |     34.97 |     53.47 | task_19726_cp2k_singlepoint_pre |
|        581 |   0.39 |  34.44 |    23.47 |    43.75 |    39.37 |     35.22 |     50.59 | task_19728_cp2k_singlepoint_pre |
|        582 |   1.09 |  32.43 |    23.79 |    43.91 |    38.85 |     30.17 |     44.89 | task_19730_cp2k_singlepoint_pre |
|        583 |   0.43 |  30.03 |    21.77 |    42.86 |    37.11 |     27.20 |     40.55 | task_19732_cp2k_singlepoint_pre |
|        584 |   0.40 |  28.89 |    20.19 |    43.11 |    35.46 |     27.05 |     37.58 | task_19734_cp2k_singlepoint_pre |
|        585 |   0.06 |  31.16 |    23.36 |    42.18 |    35.60 |     29.40 |     44.86 | task_19736_cp2k_singlepoint_pre |
|        586 |   0.38 |  38.89 |    26.80 |    48.91 |    42.16 |     39.40 |     62.87 | task_19738_cp2k_singlepoint_pre |
|        587 |   0.74 |  40.79 |    27.02 |    58.03 |    45.96 |     40.93 |     60.83 | task_19742_cp2k_singlepoint_pre |
|        588 |   1.96 |  47.77 |    28.79 |    60.88 |    49.22 |     50.66 |     83.58 | task_19740_cp2k_singlepoint_pre |
|        589 |   0.98 |  43.77 |    29.31 |    58.10 |    44.15 |     46.50 |     70.21 | task_19744_cp2k_singlepoint_pre |
|        590 |   0.82 |  42.68 |    29.92 |    55.99 |    46.62 |     42.13 |     67.64 | task_19746_cp2k_singlepoint_pre |
|        591 |   1.22 |  43.51 |    31.18 |    63.43 |    50.31 |     40.18 |     62.70 | task_19748_cp2k_singlepoint_pre |
|        592 |   0.57 |  32.92 |    24.09 |    49.80 |    37.40 |     28.83 |     48.42 | task_19750_cp2k_singlepoint_pre |
|        593 |   0.41 |  30.48 |    22.32 |    45.33 |    36.48 |     27.60 |     40.83 | task_19752_cp2k_singlepoint_pre |
|        594 |   0.48 |  30.61 |    22.77 |    42.67 |    38.06 |     28.53 |     38.81 | task_19754_cp2k_singlepoint_pre |
|        595 |   0.40 |  30.77 |    22.48 |    45.26 |    37.57 |     26.99 |     42.46 | task_19756_cp2k_singlepoint_pre |
|        596 |   0.46 |  34.09 |    24.37 |    44.94 |    40.71 |     33.84 |     47.87 | task_19758_cp2k_singlepoint_pre |
|        597 |   0.17 |  39.20 |    26.66 |    52.57 |    47.59 |     38.38 |     57.68 | task_19760_cp2k_singlepoint_pre |
|        598 |   0.24 |  39.53 |    26.62 |    51.73 |    44.10 |     40.36 |     63.54 | task_19762_cp2k_singlepoint_pre |
|        599 |   0.04 |  36.06 |    28.15 |    50.54 |    40.30 |     36.20 |     44.64 | task_19764_cp2k_singlepoint_pre |
|        600 |   0.45 |  29.73 |    20.44 |    49.30 |    34.82 |     26.61 |     39.11 | task_21347_cp2k_singlepoint_pre |
|        601 |   0.37 |  30.22 |    21.67 |    44.67 |    34.79 |     27.90 |     42.90 | task_21351_cp2k_singlepoint_pre |
|        602 |   0.27 |  29.28 |    22.56 |    41.16 |    33.62 |     28.44 |     36.62 | task_21353_cp2k_singlepoint_pre |
|        603 |   0.23 |  30.42 |    21.40 |    42.64 |    35.51 |     30.76 |     39.89 | task_21345_cp2k_singlepoint_pre |
|        604 |   0.10 |  31.28 |    23.17 |    45.66 |    34.05 |     29.81 |     43.82 | task_21349_cp2k_singlepoint_pre |
|        605 |   0.30 |  30.60 |    22.28 |    41.68 |    33.86 |     29.02 |     45.79 | task_21343_cp2k_singlepoint_pre |
|        606 |   0.38 |  30.77 |    20.86 |    40.60 |    36.08 |     30.13 |     45.67 | task_21357_cp2k_singlepoint_pre |
|        607 |   0.56 |  34.66 |    24.67 |    47.32 |    40.42 |     32.19 |     51.05 | task_21355_cp2k_singlepoint_pre |
|        608 |   0.64 |  27.75 |    20.97 |    41.84 |    33.20 |     26.12 |     32.29 | task_21361_cp2k_singlepoint_pre |
|        609 |   0.16 |  32.37 |    22.96 |    46.83 |    37.59 |     30.37 |     46.37 | task_21359_cp2k_singlepoint_pre |
|        610 |   0.06 |  32.41 |    24.25 |    44.51 |    39.59 |     28.50 |     45.95 | task_21367_cp2k_singlepoint_pre |
